title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"1 week ago - In most cases, the earliest burial ... jars acquired from the burgeoning maritime trade with China and Mainland Southeast Asia around the 14th century CE. Slit drums are indigenous Austronesian musical instruments invented and used by Southeast Asian-Austronesian and ...",So’a,Austronesian
Taiwanese Indigenous pop music - Wikipedia,https://en.wikipedia.org/wiki/Taiwanese_Indigenous_pop_music,"March 26, 2026 - Taiwanese Indigenous pop music comprises contemporary songs performed in Austronesian languages native to Taiwan, blending modern pop music with Indigenous linguistic and cultural elements. It has steadily gained mainstream recognition over the past two decades, reflecting a broader cultural ...",So’a,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"It's a pity that Taiwanese aboriginal songs are rich and various yet there are only a few musical instruments. I found a few and compare them with the ones from Southeast Asia. We all know that twin-pipe nose flutes are only found in Taiwan, and they exist in Paiwan and are documented in Tsou's literature. The Austronesians in Southeast Asia have single-pipe nose flutes instead of twin-pipe nose flutes.",So’a,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Using a zither in the form of a bamboo pipe rounded by strings, called sasando/sasandu/valiha/kolibit as an accompaniment of narrative songs; also other corresponding traditions using different instruments (Sundanese pantun, dayak sape).Austronesian music nowadays refers to the ongoing evolution and fusion of various cultural influences from foreign and neighbouring cultures.",So’a,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and Southeast Asia on JSTOR,https://www.jstor.org/stable/j.ctt46mvnd,"‘Singing Spirits And The Dancing Dead’:: Sonic Geography, Music and Ritual Performance in a Melanesian Community",So’a,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/channel/UCGAXcH95xpp9X5z3iZDZl6Q,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of S...",So’a,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and Southeast Asia | IIAS,https://www.iias.asia/books/austronesian-soundscapes-performing-arts-oceania-and-southeast-asia,"Ramon P. Santos, Ph.D. UP Center for Ethnomusicology ""The island world of the Pacific and Indian oceans, inhabited by peoples speaking Austronesian languages, has an extremely variegated cultural spectrum. This volume is organised as a musical view on the historical map of the Austronesian expansion, attempting for the first time to see how the performing arts contribute to understanding the interlinkages of this immense cultural area and thus providing a fresh and welcome view on these understudied, yet extremely diverse musical cultures.""",So’a,Austronesian
Small Island Big Song The Sounds of Austronesian Music - Taiwan Panorama,https://www.taiwan-panorama.com/en/Articles/Details?Guid=6057eca8-d680-4ddd-b3be-8a655eff29f1&CatId=7&postname=Small+Island+Big+Song-The+Sounds+of+Austronesian+Music,"January 1, 2022 - Although the rubug qawqaw only has a thin sound, it added a distinctive feel to the surging wave of music, like a drop of water in the ocean. The Small Island Big Song project not only links together Austronesian islands, it also bears witness to the fact that Austronesian peoples migrated to the Indian Ocean.",So’a,Austronesian
Austronesian Music,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",So’a,Austronesian
Austronesian - song and lyrics by World Music Atelier | Spotify,https://open.spotify.com/track/1WKzepcsNRrc28d3DjbGud,"January 5, 2009 - Listen to Austronesian on Spotify. Song · World Music Atelier · 2009",So’a,Austronesian
